File,initial Tokens,Initial Functions,Initial Contracts,Tokens after dd,Functions after dd,Contracts after dd,Tokens after dd+perses,Functions after dd+perses,Contracts after dd+perses,DD time,perses+dd time,Total Time
smart22,1703,41,5,41,3,1,21,3,1,69.5619034767151,103.966691970825,173.552102327347
smart21,1969,34,7,102,7,2,71,7,2,60.0323104858398,306.365571022034,366.422390699387
smart20,4433,58,12,216,4,4,34,2,3,217.141019821167,218.523878335953,435.689733028412
smart19,2459,69,14,72,1,1,11,1,1,30.5974311828613,35.962653875351,66.5817210674286
smart18,3762,77,16,133,4,3,37,3,2,129.446710348129,242.714434623718,372.18577837944
smart17,1491,66,10,85,1,2,13,1,2,57.7653727531433,40.9808030128479,98.7675566673279
smart16,316,8,2,53,1,2,38,1,1,64.1015148162842,239.392210006714,303.51788520813
smart15,645,12,5,48,3,0,11,3,0,11.745596408844,50.8884387016296,62.6574940681458
smart14,4061,97,8,669,17,5,214,15,4,906.491043329239,1746.79902935028,2653.31145691872
